kategória,id,DeepSeek V3,DeepSeek R1,ChatGPT 4o,ChatGPT o1,Gemini 2.0 Flash,Gemini 2.5 Pro Experimental,Perplexity Sonar,Perplexity Sonar Pro,Claude 3.7 Sonnet,Claude 3.7 Sonnet Thinking,Grok 3,Grok 3 Thinking
chytáky,1,❌,❌,❌,✅,✅,✅,❌,❌,❌,❌,✅,❌
matematika,2,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
chytáky,3,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
priestorové,4,❌,✅,❌,✅,❌,✅,❌,❌,✅,✅,✅,❌
priestorové,5,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅
časové,6,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
časové,7,✅,✅,✅,❌,✅,❌,❌,❌,❌,❌,✅,✅
chytáky,8,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌
sociálne,9,❌,❌,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌
sociálne,10,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
sociálne,11,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
chytáky,12,✅,✅,✅,✅,✅,✅,❌,❌,❌,✅,✅,✅
chytáky,13,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅
priestorové,14,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
chytáky,15,✅,✅,✅,✅,❌,✅,❌,✅,❌,✅,✅,✅
chytáky,16,❌,❌,❌,✅,❌,❌,❌,❌,✅,❌,✅,❌
chytáky,17,✅,✅,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅
sociálne,18,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,19,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅
priestorové,20,✅,✅,❌,✅,❌,❌,✅,✅,✅,✅,❌,✅
chytáky,21,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
chytáky,22,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
