category,id,DeepSeek V3,DeepSeek R1,ChatGPT 4o,ChatGPT o1,Gemini 2.0 Flash,Gemini 2.5 Pro Experimental,Perplexity Sonar,Perplexity Sonar Pro,Claude 3.7 Sonnet,Claude 3.7 Sonnet Thinking,Grok 3,Grok 3 Thinking
Chytáky,1,0,0,0,1,0,0,0,0,0,0,1,0
Matematika,2,0,1,1,1,1,1,1,1,1,1,1,1
Chytáky,3,1,1,1,1,1,1,1,1,1,1,1,1
Priestorové,4,0,1,0,1,0,1,0,0,1,1,1,0
Priestorové,5,1,1,1,1,0,1,1,1,0,1,1,1
Časové,6,0,0,0,0,0,0,0,0,0,0,0,0
Časové,7,1,1,1,0,1,0,0,0,0,1,1,1
Chytáky,8,0,0,0,0,0,0,0,0,0,1,0,0
Sociálne,9,0,0,0,0,0,1,0,0,1,1,0,0
Sociálne,10,0,0,0,0,0,0,0,0,0,0,0,0
Sociálne,11,0,0,0,0,0,0,0,0,0,0,0,0
Chytáky,12,1,1,1,1,1,1,0,1,1,1,1,1
Chytáky,13,1,1,1,1,0,1,1,1,1,1,1,1
Priestorové,14,0,0,0,0,0,0,0,0,0,0,0,0
Chytáky,15,1,1,1,1,0,1,0,1,1,1,1,1
Chytáky,16,0,0,0,1,0,0,0,0,1,0,1,0
Chytáky,17,1,1,1,1,1,1,1,1,1,1,1,1
Sociálne,18,1,1,0,1,1,1,1,1,1,1,1,1
Matematika,19,1,1,1,1,0,1,1,0,1,1,1,1
Priestorové,20,1,1,0,1,0,0,1,1,1,1,0,1
Chytáky,21,1,1,1,1,1,1,1,1,1,1,1,1
Chytáky,22,1,1,1,1,1,1,1,1,1,1,1,1
Sociálne,23,1,1,1,1,1,1,1,1,1,1,1,1
Chytáky,24,0,1,0,1,1,1,0,1,1,1,1,1
Chytáky,25,0,0,0,0,0,0,0,0,0,0,0,0
Priestorové,26,1,1,0,1,0,1,1,1,1,1,1,1
Priestorové,27,1,1,1,1,1,1,0,1,1,1,1,1
Priestorové,28,0,1,0,0,0,0,0,0,0,0,0,0
Chytáky,29,0,0,0,1,0,0,0,0,0,0,0,0
Chytáky,30,1,1,1,1,1,1,1,1,1,1,1,1
Chytáky,31,1,1,1,1,1,1,1,1,1,1,1,1
Chytáky,32,1,1,1,1,1,1,1,1,1,1,1,1
Priestorové,33,1,1,0,1,1,1,0,0,1,1,0,1
Chytáky,34,1,1,1,1,0,1,1,1,1,1,1,1
Priestorové,35,1,1,1,1,1,1,1,1,1,1,1,1
Chytáky,36,1,1,0,1,0,1,1,0,0,1,0,1
Chytáky,37,0,1,0,1,0,1,0,0,1,1,1,1
Chytáky,38,0,1,0,1,0,0,0,0,1,1,0,0
Chytáky,39,0,1,1,0,0,1,1,0,1,1,1,1
Chytáky,40,0,1,1,1,1,1,1,0,0,0,0,0
Priestorové,41,0,0,0,1,0,0,0,0,1,1,0,0
Chytáky,42,1,0,1,0,1,0,1,0,1,0,0,0
Chytáky,43,1,0,0,0,1,1,0,0,1,1,1,1
Chytáky,44,0,0,0,0,0,1,0,0,0,0,0,0
Chytáky,45,0,0,0,0,0,1,0,0,0,0,0,0
Matematika,46,1,1,1,1,1,1,1,1,1,1,1,1
Chytáky,47,0,1,1,1,0,1,0,1,0,1,0,1
Priestorové,48,1,1,1,1,1,1,0,1,1,1,1,1
Matematika,49,1,1,1,1,1,1,1,0,1,1,1,1
Chytáky,50,1,1,1,1,1,1,1,1,1,1,1,1
Chytáky,51,1,1,1,1,1,1,1,1,1,1,1,0
Časové,52,1,1,1,1,1,1,1,1,1,1,1,1
Matematika,53,1,1,1,1,1,1,1,1,0,1,1,1
Matematika,54,1,1,1,1,1,1,1,1,1,1,1,1
Priestorové,55,1,1,1,1,1,1,1,1,1,1,1,1
Matematika,56,1,1,1,1,1,1,1,1,1,1,1,1
Chytáky,57,1,1,1,1,1,1,1,1,1,1,1,1
Chytáky,58,0,1,0,0,0,1,0,0,0,1,0,1
Matematika,59,1,1,1,1,0,1,1,1,1,1,1,1
Matematika,60,0,1,1,1,1,1,0,1,1,1,1,1
Matematika,61,1,1,1,1,1,1,1,1,1,1,1,1
Matematika,62,1,1,1,1,1,1,1,1,1,1,1,1
Matematika,63,0,0,0,0,0,0,0,0,0,1,0,1
Matematika,64,1,1,1,1,1,1,1,1,1,1,1,1
Matematika,65,1,1,1,1,1,1,1,1,1,1,1,1
Priestorové,66,1,1,0,1,1,1,0,1,0,0,1,1
Matematika,67,1,1,1,1,1,1,1,1,1,1,1,1
Matematika,68,1,1,1,1,1,1,1,1,0,1,1,1
Časové,69,1,1,1,1,1,1,0,1,1,1,1,0
